items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
ATPS4m,1,0,0,0
IDP,1,1,1,1
PPAm,1,1,0,0
THD1m,1,1,0,0
ADK1,1,1,0,0
GLTS,1,1,1,1
GALh,1,1,0,0
FACOAL181,1,1,0,0
ACS,1,1,1,1
CTPS1,1,1,0,0
ASPTA,1,0,0,0
ASPATh,1,0,0,0
OAAAKGtm,1,1,0,0
ASPTAm,1,0,0,0
FACOAL160,1,1,0,0
SERDC,1,1,1,1
SAL,1,1,1,1
ALATA_L,1,1,1,1
GLYK,1,1,1,1
MDHm,1,0,0,0
AKGMALtm,1,0,0,0
MALOAAtm,1,0,0,0
ME1m,1,1,0,0
PGI,1,1,1,1
AMPDA,1,1,0,0
FACOAL180_1,1,1,0,0
TRDR,1,1,0,0
FTHFD,1,1,0,0
FTHFLi,1,1,0,0
ASNS1,1,1,0,0
ACITL,1,1,0,0
AKGCITtm,1,0,0,0
CITtam,1,0,0,0
OAACITtm,1,0,0,0
CSm,1,1,0,0
G3PD1,1,0,0,0
TPIh,1,0,0,0
RNDR2,1,1,0,0
PGMT,1,0,0,0
PGM,1,1,1,1
PCm,1,1,0,0
AKGICITtm,1,1,0,0
CITtcm,1,1,0,0
MALICITtm,1,1,0,0
OAAICITtm,1,1,0,0
METAT,1,1,0,0
GHMT2rm,1,0,0,0
PEPC,1,1,1,1
PYK,1,1,1,1
AGPOP,1,1,1,1
PYK3,1,1,0,0
PPDK,1,1,1,1
PYKm,1,1,0,0
PPCKm,1,1,0,0
SAT,1,1,1,1
RNDR1,1,1,0,0
r0280,1,1,0,0
DHFR2i,1,1,0,0
DHFR,1,1,0,0
AGTim,1,1,0,0
MALSp,1,1,0,0
FACOAL1821,1,1,0,0
PDHe3hr,1,0,0,0
GCC2cm,1,0,0,0
PYDXK,1,1,1,1
PYDXPP,1,1,1,1
PRPPS,1,1,0,0
GMPS,1,1,1,1
GMPS2,1,1,0,0
IMPD,1,1,1,1
PDHam1hi,1,1,0,0
PDHam1mi,1,1,0,0
THRD_Lm,1,1,0,0
ALCD2y,1,1,0,0
THRA,1,1,1,1
SUAT,1,1,1,1
RNDR3,1,1,0,0
DOLPMT,1,1,1,1
TMDS,1,0,0,0
DTMPK,1,1,1,1
URIDK2r,1,1,0,0
CCP2,1,1,1,1
CYSS_1,1,1,0,0
AHCi,1,1,0,0
GAPD,1,1,0,0
GAPDH_nadp_hi,1,1,0,0
PGKh,1,1,0,0
GAPDHm,1,0,0,0
ENO,1,1,1,1
ENOm,1,0,0,0
G6PDH2r,1,1,0,0
DMORh,1,1,0,0
KARA1im,1,0,0,0
MG3,1,1,1,1
MG2,1,1,1,1
CBL,1,1,1,1
IDIh,1,1,0,0
PETHCT,1,1,1,1
DHFOR,1,0,0,0
THFOR1,1,1,1,1
THFOR2,1,1,1,1
FOLR2_1,1,0,0,0
GGPS,1,1,1,1
GUAD,1,1,0,1
LDHm,1,0,0,0
MI3PS,1,1,1,1
DVPCHLDR,1,1,1,1
PCHLDOR,1,1,1,1
PDXPP,1,1,1,1
PYDXNK,1,1,1,1
SDH,1,1,1,1
PYDXS,1,1,1,1
UDPGD,1,1,0,0
MTMOHT,1,1,1,1
PGLYCPh,1,1,0,0
IPPSh,1,1,0,0
PPNCL,1,0,1,1
METS_1,1,0,0,0
MTHFR2_1,1,1,0,0
MTHFR3_1,1,1,0,0
GND,1,1,0,0
PGDHh,1,1,0,0
EAR40x_1,1,1,0,0
OCBTm,1,0,0,0
UPPDC1_1,1,1,0,0
DVCHLDR,1,1,1,1
DVPCHLDOR,1,1,1,1
FBP,1,1,1,1
FBA,1,1,1,1
ORNTArm,1,0,0,0
GRTT,1,1,0,0
DMATT,1,1,0,0
FPPS,1,1,1,1
GPPS,1,1,1,1
IDS1,1,1,1,1
IDS2,1,1,1,1
HMGLm,1,1,0,0
FACOAL1831,1,1,0,0
MCOATA_1,1,0,0,0
MMSAD1m,1,1,0,0
NITR,1,1,1,1
GGDR,1,1,1,1
CHORM,1,1,0,0
FCLT,1,1,1,1
HYPOE,1,1,0,0
PYDAMK,1,1,0,0
PRUK_1,1,1,0,0
TALA,1,1,1,1
SELCYSLY2,1,1,1,1
SELTOR,1,1,1,1
SPMS,1,1,1,1
SUCOASm,1,0,0,0
EAR120x_1,1,1,0,0
EAR60x_1,1,1,0,0
EAR160x_1,1,1,0,0
RPEh,1,1,0,0
TKT1h,1,1,0,0
TKL2,1,1,1,1
P5CR,1,1,1,1
DAPEP,1,1,1,1
DPHS,1,1,0,0
ACACT10m,1,1,0,0
OIVD3m,1,1,0,0
OIVD2m,1,1,0,0
IMPDH,1,1,1,1
DHQS_1,1,1,0,0
SERPT,1,1,1,1
KARI,1,0,0,0
KARI_23dhmp,1,1,0,0
MCCCrm,1,1,0,0
MGCHrm,1,1,0,0
OIVD1m,1,1,0,0
3OAS181_1,1,1,0,0
3OAS120,1,1,1,1
3OAS100,1,1,1,1
3OAS60,1,1,1,1
3OAS140,1,1,1,1
3OAS80,1,1,1,1
3OAS180,1,1,1,1
3OAS160,1,1,1,1
CHRS,1,1,1,1
ADCS,1,1,1,1
CMS,1,1,1,1
FUMAC,1,1,1,1
HGNTOR,1,1,1,1
ASADH,1,1,1,1
ASPK_1,1,1,0,0
AIRCr,1,0,0,0
PRASCSi,1,1,0,0
MTRI,1,1,1,1
MTRK,1,1,1,1
MTAN,1,1,1,1
AGK,1,1,1,1
3OAS40,1,1,1,1
PDHam2hi,1,1,0,0
PDHam2mi,1,1,0,0
PDHe2r,1,0,0,0
ARGSS,1,1,1,1
ASPCT,1,1,1,1
DHORTS,1,0,0,0
NCPA,1,1,0,1
CAS,1,1,1,1
DADK,1,1,0,0
ADSS,1,1,1,1
GLCNACPT,1,1,1,1
TMTD,1,1,1,1
DXRI,1,0,0,0
PRAIS,1,1,1,1
PRFGS,1,1,1,1
LCYG,1,1,0,0
G1SAT,1,1,1,1
G5SD,1,1,0,0
GTHS,1,1,1,1
HISTD,1,1,0,0
FACOAL1832,1,1,0,0
MPML,1,1,1,1
MPMT,1,1,1,1
NOR,1,1,1,1
CYEUOLCYCI,1,1,0,0
OBFOOLOR,1,1,0,0
CMK,1,1,0,1
PPNDH,1,1,0,0
PDS1,1,1,1,1
PSY,1,1,1,1
PPBNGD,1,1,1,1
PPBNGS,1,1,1,1
CPPPGO_1,1,1,0,0
PPPGO_1,1,1,0,0
PRAGSr,1,1,0,0
IG3PS,1,1,0,0
PRMICI,1,1,0,0
PSP,1,1,1,1
PSPPS,1,1,1,1
FBA3hi,1,1,0,0
SBP_1,1,1,0,0
AKGDbm,1,0,0,0
AKGDam,1,1,0,0
PSCIT,1,0,0,0
SS,1,1,0,0
DAPAT,1,1,1,1
DHPR,1,1,1,1
GLUTRS,1,1,0,0
GLUTRR_1,1,1,0,0
TMTG,1,1,1,1
PDS2,1,1,1,1
ZDS,1,1,1,1
FMETTRS,1,1,0,0
FORAMD,1,0,0,0
HEMEASM,1,1,1,1
MERGTROLR,1,0,0,0
PPM,1,1,1,1
PPMh,1,0,0,0
BETALDHx,1,1,0,0
SSALxm,1,1,0,0
ARGTRS,1,1,0,0
CYSTRS,1,1,0,0
GLYTLm,1,1,0,0
HISTRS,1,1,0,0
ILETRS,1,1,0,0
LEUTRS,1,1,0,0
LYSTRSm,1,1,0,0
METTRS,1,1,0,0
PHETRSm,1,1,0,0
PROTRS,1,1,0,0
THRTRS,1,1,0,0
