,Photoautotrophy,Heterotrophy,Mixotrophy
Acetate,0,1,1
CO2,2,0,1
D-Galactose,0,2,1
D-Galacturonate,0,2,1
D-Glucose,0,2,1
D-Glucuronate,0,2,1
D-Mannose,0,2,1
D-Ribose,0,2,1
D-Xylose,0,2,1
Glycerol,0,1,2
L-Arabinose,0,2,1
L-Fucose,0,2,1
L-Rhamnose,0,2,1
Succinate,0,2,1
Ammonium,2,1,1
D-Alanine,2,1,1
Glycine,2,1,1
L-Alanine,2,1,1
L-Arginine,2,1,1
L-Aspartate,2,1,1
L-Glutamate,2,1,1
L-Histidine,2,1,1
L-Isoleucine,2,1,1
L-Leucine,2,1,1
L-Serine,2,1,1
L-Threonine,2,1,1
L-Valine,2,1,1
Nitrate,2,2,2
Urea,2,1,1
