,growth_rate,sample_type,data_type
0,0.1341913624690553,Control,expt
1,0.1522825120526725,Control,expt
2,0.1480802513579442,Control,expt
3,0.01931,Dark,expt
4,0.022412,Dark,expt
5,0.0277777777777777,Dark,expt
6,0.0804779981437514,Low NO3,expt
7,0.0453720352874292,Low NO3,expt
8,0.0640931922793779,Low NO3,expt
9,0.0856934027978098,No Si,expt
10,0.1366993103251917,No Si,expt
11,0.1203024735801664,No Si,expt
0,0.150404720783075,Control,insilico
1,0.0280649761444834,Dark,insilico
2,0.0591622125155309,Low NO3,insilico
3,0.128582319784275,No Si,insilico
