,subs,logFC_expr,logFC_flux
2,"Alanine, Aspartate and Glutamate metabolism",0.011830045,1.032284772
4,Cysteine and methionine metabolism,0.021763034,1.64691798
11,Ascorbate metabolism,0.000588019,1.100461088
12,Biosynthesis of steroids: Terpenoid backbone synthesis,0.001632687,1.153663316
15,Citrate cycle (TCA cycle),0.00060973,0.300499061
17,Cofactor biosynthesis: Regeneration,0.023454187,0.978524782
20,Fructose and mannose metabolism,0.000588019,1.378773856
24,Glycolysis/Gluconeogenesis,0.027981163,0.177890532
25,Glycolysis/Gluconeogenesis/Entner-Doudoroff pathway,0.044253752,0.153480722
27,Glyoxylate metabolism,0.001035964,0.071913252
29,Methionine metabolism,0.10969954,0.016956934
32,Nucleotide sugar metabolism,0.000816815,0.477349991
36,Pentose phosphate pathway,0.017406417,0.090107616
38,Photosynthesis,0.032058442,0.110441403
44,Starch and sucrose metabolism,0.000816815,0.002171396
