,alt_sample,sample_id,meta,latitude,longitude,sample,type,geometry
0,7DCM,TARA_A200000159,MetaG,37.0541,1.9478,TARA_007DCM,auto,POINT (1.9478 37.0541)
1,7SRF,TARA_A200000113,MetaG,37.051,1.9378000000000002,TARA_007SRF,mixo,POINT (1.9378 37.051)
2,18DCM,TARA_S200000501,MetaG,35.7528,14.2765,TARA_018DCM,auto,POINT (14.2765 35.7528)
3,22SRF,TARA_S200002703,MetaG,39.8386,17.4155,TARA_022SRF,mixo,POINT (17.4155 39.8386)
4,23DCM,TARA_E500000081,MetaG,42.1735,17.7252,TARA_023DCM,auto,POINT (17.7252 42.1735)
5,23SRF,TARA_E500000075,MetaG,42.2038,17.715,TARA_023SRF,auto,POINT (17.715 42.2038)
6,36DCM,TARA_B100000035,MetaG,20.8222,63.5133,TARA_036DCM,mixo,POINT (63.5133 20.8222)
7,41DCM,TARA_B100000287,MetaG,14.5536,70.0128,TARA_041DCM,mixo,POINT (70.0128 14.5536)
8,41SRF,TARA_Y100000052,MetaG,14.6059,69.9776,TARA_041SRF,mixo,POINT (69.9776 14.6059)
9,46SRF,TARA_R100000406,MetaG,-0.6625000000000001,73.161,TARA_046SRF,mixo,POINT (73.161 -0.6625000000000001)
10,48SRF,TARA_Y100000114,MetaG,-9.3921,66.4228,TARA_048SRF,auto,POINT (66.4228 -9.392099999999999)
11,52DCM,TARA_B100000214,MetaG,-16.9534,53.9601,TARA_052DCM,mixo,POINT (53.9601 -16.9534)
12,52SRF,TARA_B100000212,MetaG,-16.957,53.9801,TARA_052SRF,mixo,POINT (53.9801 -16.957)
13,64DCM,TARA_Y100000401,MetaG,-29.5333,37.9117,TARA_064DCM,mixo,POINT (37.9117 -29.5333)
14,64SRF,TARA_B100000401,MetaG,-29.5019,37.9889,TARA_064SRF,mixo,POINT (37.9889 -29.5019)
15,65SRF,TARA_Y100000356,MetaG,-35.1728,26.2868,TARA_065SRF,mixo,POINT (26.2868 -35.1728)
16,66DCM,TARA_B000000477,MetaG,-34.8901,18.0459,TARA_066DCM,mixo,POINT (18.0459 -34.8901)
17,66SRF,TARA_B000000475,MetaG,-34.9449,17.9189,TARA_066SRF,mixo,POINT (17.9189 -34.9449)
18,68DCM,TARA_Y100000748,MetaG,-31.027,4.6802,TARA_068DCM,mixo,POINT (4.6802 -31.027)
19,68SRF,TARA_Y100000741,MetaG,-31.0266,4.665,TARA_068SRF,mixo,POINT (4.665 -31.0266)
20,70SRF,TARA_Y100000768,MetaG,-20.4091,-3.1759,TARA_070SRF,mixo,POINT (-3.1759 -20.4091)
21,76DCM,TARA_Y100000817,MetaG,-21.0292,-35.3498,TARA_076DCM,mixo,POINT (-35.3498 -21.0292)
22,76SRF,TARA_Y100000816,MetaG,-20.9354,-35.1803,TARA_076SRF,mixo,POINT (-35.1803 -20.9354)
23,78SRF,TARA_Y100000992,MetaG,-30.1367,-43.2899,TARA_078SRF,mixo,POINT (-43.2899 -30.1367)
24,80SRF,TARA_B100000713,MetaT,-40.6511,-52.182,TARA_080SRF,mixo,POINT (-52.182 -40.6511)
25,81DCM,TARA_B100000834,MetaT,-44.5913,-52.1804,TARA_081DCM,mixo,POINT (-52.1804 -44.5913)
26,82SRF,TARA_B100000768,MetaG,-47.1863,-58.2902,TARA_082SRF,mixo,POINT (-58.2902 -47.1863)
