,alt_sample,sample_id,meta,latitude,longitude,sample,type
0,7DCM,TARA_A200000159,MetaG,37.0541,1.9478,TARA_007DCM,auto
1,7SRF,TARA_A200000113,MetaG,37.051,1.9378000000000002,TARA_007SRF,mixo
2,18DCM,TARA_S200000501,MetaG,35.7528,14.2765,TARA_018DCM,auto
3,22SRF,TARA_S200002703,MetaG,39.8386,17.4155,TARA_022SRF,mixo
4,23DCM,TARA_E500000081,MetaG,42.1735,17.7252,TARA_023DCM,auto
5,23SRF,TARA_E500000075,MetaG,42.2038,17.715,TARA_023SRF,auto
6,36DCM,TARA_B100000035,MetaG,20.8222,63.5133,TARA_036DCM,mixo
7,41DCM,TARA_B100000287,MetaG,14.5536,70.0128,TARA_041DCM,mixo
8,41SRF,TARA_Y100000052,MetaG,14.6059,69.9776,TARA_041SRF,mixo
9,46SRF,TARA_R100000406,MetaG,-0.6625000000000001,73.161,TARA_046SRF,mixo
10,48SRF,TARA_Y100000114,MetaG,-9.3921,66.4228,TARA_048SRF,auto
11,52DCM,TARA_B100000214,MetaG,-16.9534,53.9601,TARA_052DCM,mixo
12,52SRF,TARA_B100000212,MetaG,-16.957,53.9801,TARA_052SRF,mixo
13,64DCM,TARA_Y100000401,MetaG,-29.5333,37.9117,TARA_064DCM,mixo
14,64SRF,TARA_B100000401,MetaG,-29.5019,37.9889,TARA_064SRF,mixo
15,65SRF,TARA_Y100000356,MetaG,-35.1728,26.2868,TARA_065SRF,mixo
16,66DCM,TARA_B000000477,MetaG,-34.8901,18.0459,TARA_066DCM,mixo
17,66SRF,TARA_B000000475,MetaG,-34.9449,17.9189,TARA_066SRF,mixo
18,68DCM,TARA_Y100000748,MetaG,-31.027,4.6802,TARA_068DCM,mixo
19,68SRF,TARA_Y100000741,MetaG,-31.0266,4.665,TARA_068SRF,mixo
20,70SRF,TARA_Y100000768,MetaG,-20.4091,-3.1759,TARA_070SRF,mixo
21,76DCM,TARA_Y100000817,MetaG,-21.0292,-35.3498,TARA_076DCM,mixo
22,76SRF,TARA_Y100000816,MetaG,-20.9354,-35.1803,TARA_076SRF,mixo
23,78SRF,TARA_Y100000992,MetaG,-30.1367,-43.2899,TARA_078SRF,mixo
24,80SRF,TARA_B100000713,MetaT,-40.6511,-52.182,TARA_080SRF,mixo
25,81DCM,TARA_B100000834,MetaT,-44.5913,-52.1804,TARA_081DCM,mixo
26,82SRF,TARA_B100000768,MetaG,-47.1863,-58.2902,TARA_082SRF,mixo
27,83SRF,TARA_B100000765,MetaT,-54.3739,-65.1342,TARA_083SRF,mixo
28,84SRF,TARA_B100000780,MetaG,-60.2287,-60.6476,TARA_084SRF,mixo
29,85DCM,TARA_B100000795,MetaG,-62.2231,-49.2139,TARA_085DCM,mixo
30,85SRF,TARA_B100000787,MetaG,-62.0385,-49.529,TARA_085SRF,mixo
31,93DCM,TARA_B100001059,MetaG,-33.9116,-73.0537,TARA_093DCM,mixo
32,93SRF,TARA_B100001063,MetaG,-34.0614,-73.1066,TARA_093SRF,mixo
33,100DCM,TARA_B100000965,MetaG,-12.9723,-96.0122,TARA_100DCM,auto
34,100SRF,TARA_B100000963,MetaG,-13.0023,-95.9759,TARA_100SRF,mixo
35,102DCM,TARA_B100000902,MetaG,-5.2669,-85.2732,TARA_102DCM,mixo
